Python 3.12.3
cn3.hpc.itu.dk
Torch: 2.5.1+cu121
True Tesla V100-PCIE-32GB
[2025-11-10T16:52:59.537448] - Loaded model on: cuda:0
[2025-11-10T16:52:59.698994] - Loaded 16501 questions.
[2025-11-10T16:52:59.699109] - Chat-template active
[2025-11-10T17:59:58.583418] - Processed 4300/16501
[2025-11-10T18:01:30.277949] - Processed 4400/16501
[2025-11-10T18:03:00.397042] - Processed 4500/16501
[2025-11-10T18:04:31.171345] - Processed 4600/16501
[2025-11-10T18:06:02.234503] - Processed 4700/16501
[2025-11-10T18:07:34.651523] - Processed 4800/16501
[2025-11-10T18:09:05.902192] - Processed 4900/16501
[2025-11-10T18:10:38.506222] - Processed 5000/16501
[2025-11-10T18:12:09.661730] - Processed 5100/16501
[2025-11-10T18:13:40.143975] - Processed 5200/16501
[2025-11-10T18:15:12.904203] - Processed 5300/16501
[2025-11-10T18:16:45.348843] - Processed 5400/16501
[2025-11-10T18:18:17.012005] - Processed 5500/16501
[2025-11-10T18:19:48.228194] - Processed 5600/16501
[2025-11-10T18:21:17.953755] - Processed 5700/16501
[2025-11-10T18:22:50.695251] - Processed 5800/16501
[2025-11-10T18:24:22.106116] - Processed 5900/16501
[2025-11-10T18:25:55.746731] - Processed 6000/16501
[2025-11-10T18:27:27.279451] - Processed 6100/16501
[2025-11-10T18:28:59.656297] - Processed 6200/16501
[2025-11-10T18:30:31.333617] - Processed 6300/16501
[2025-11-10T18:32:04.387436] - Processed 6400/16501
[2025-11-10T18:33:36.007331] - Processed 6500/16501
[2025-11-10T18:35:06.241967] - Processed 6600/16501
[2025-11-10T18:36:39.360345] - Processed 6700/16501
[2025-11-10T18:38:12.405170] - Processed 6800/16501
[2025-11-10T18:39:46.953665] - Processed 6900/16501
[2025-11-10T18:41:20.520421] - Processed 7000/16501
[2025-11-10T18:42:53.872674] - Processed 7100/16501
[2025-11-10T18:44:26.766607] - Processed 7200/16501
[2025-11-10T18:46:00.321589] - Processed 7300/16501
[2025-11-10T18:47:31.067776] - Processed 7400/16501
[2025-11-10T18:49:02.398925] - Processed 7500/16501
[2025-11-10T18:50:35.904138] - Processed 7600/16501
[2025-11-10T18:52:10.258382] - Processed 7700/16501
[2025-11-10T18:53:41.219898] - Processed 7800/16501
[2025-11-10T18:55:15.958151] - Processed 7900/16501
[2025-11-10T18:56:47.096898] - Processed 8000/16501
[2025-11-10T18:58:18.269246] - Processed 8100/16501
[2025-11-10T18:59:51.160598] - Processed 8200/16501
[2025-11-10T19:01:24.385086] - Processed 8300/16501
[2025-11-10T19:02:54.893680] - Processed 8400/16501
[2025-11-10T19:04:31.933781] - Processed 8500/16501
[2025-11-10T19:06:03.973132] - Processed 8600/16501
[2025-11-10T19:07:37.555424] - Processed 8700/16501
[2025-11-10T19:09:10.418525] - Processed 8800/16501
[2025-11-10T19:10:42.942504] - Processed 8900/16501
[2025-11-10T19:12:16.117865] - Processed 9000/16501
[2025-11-10T19:13:48.551563] - Processed 9100/16501
[2025-11-10T19:15:20.636586] - Processed 9200/16501
[2025-11-10T19:16:52.326490] - Processed 9300/16501
[2025-11-10T19:18:24.485876] - Processed 9400/16501
[2025-11-10T19:19:56.816241] - Processed 9500/16501
[2025-11-10T19:21:30.067430] - Processed 9600/16501
[2025-11-10T19:22:59.824713] - Processed 9700/16501
[2025-11-10T19:24:31.623415] - Processed 9800/16501
[2025-11-10T19:26:03.936822] - Processed 9900/16501
[2025-11-10T19:27:37.469842] - Processed 10000/16501
[2025-11-10T19:29:08.836065] - Processed 10100/16501
[2025-11-10T19:30:42.735033] - Processed 10200/16501
[2025-11-10T19:32:14.598105] - Processed 10300/16501
[2025-11-10T19:33:46.115112] - Processed 10400/16501
[2025-11-10T19:35:19.007651] - Processed 10500/16501
[2025-11-10T19:36:48.668094] - Processed 10600/16501
[2025-11-10T19:38:19.569335] - Processed 10700/16501
[2025-11-10T19:39:52.536348] - Processed 10800/16501
[2025-11-10T19:41:24.005268] - Processed 10900/16501
[2025-11-10T19:42:56.495174] - Processed 11000/16501
[2025-11-10T19:44:24.821330] - Processed 11100/16501
[2025-11-10T19:45:55.260997] - Processed 11200/16501
[2025-11-10T19:47:28.373100] - Processed 11300/16501
[2025-11-10T19:49:00.212780] - Processed 11400/16501
[2025-11-10T19:50:31.261076] - Processed 11500/16501
[2025-11-10T19:51:59.903610] - Processed 11600/16501
[2025-11-10T19:53:29.913634] - Processed 11700/16501
[2025-11-10T19:54:59.847114] - Processed 11800/16501
[2025-11-10T19:56:32.167949] - Processed 11900/16501
[2025-11-10T19:58:03.143527] - Processed 12000/16501
[2025-11-10T19:59:38.585244] - Processed 12100/16501
[2025-11-10T20:01:09.011686] - Processed 12200/16501
[2025-11-10T20:02:41.263089] - Processed 12300/16501
[2025-11-10T20:04:11.980389] - Processed 12400/16501
[2025-11-10T20:05:45.033105] - Processed 12500/16501
[2025-11-10T20:07:15.978440] - Processed 12600/16501
[2025-11-10T20:08:49.430310] - Processed 12700/16501
[2025-11-10T20:10:21.333703] - Processed 12800/16501
[2025-11-10T20:11:52.871670] - Processed 12900/16501
[2025-11-10T20:13:24.677633] - Processed 13000/16501
[2025-11-10T20:14:54.863639] - Processed 13100/16501
[2025-11-10T20:16:27.542374] - Processed 13200/16501
[2025-11-10T20:17:58.650873] - Processed 13300/16501
[2025-11-10T20:19:30.432312] - Processed 13400/16501
[2025-11-10T20:21:03.217904] - Processed 13500/16501
[2025-11-10T20:22:35.456403] - Processed 13600/16501
[2025-11-10T20:24:09.323976] - Processed 13700/16501
[2025-11-10T20:25:41.407265] - Processed 13800/16501
[2025-11-10T20:27:13.336257] - Processed 13900/16501
[2025-11-10T20:28:44.109614] - Processed 14000/16501
[2025-11-10T20:30:17.010146] - Processed 14100/16501
[2025-11-10T20:31:47.743130] - Processed 14200/16501
[2025-11-10T20:33:19.804016] - Processed 14300/16501
[2025-11-10T20:34:52.272257] - Processed 14400/16501
[2025-11-10T20:36:25.393131] - Processed 14500/16501
[2025-11-10T20:37:57.499171] - Processed 14600/16501
[2025-11-10T20:39:31.633424] - Processed 14700/16501
[2025-11-10T20:41:01.635504] - Processed 14800/16501
[2025-11-10T20:42:34.304484] - Processed 14900/16501
[2025-11-10T20:44:06.154817] - Processed 15000/16501
[2025-11-10T20:45:37.505345] - Processed 15100/16501
[2025-11-10T20:47:08.781345] - Processed 15200/16501
[2025-11-10T20:48:39.410402] - Processed 15300/16501
[2025-11-10T20:50:10.547266] - Processed 15400/16501
[2025-11-10T20:51:41.821623] - Processed 15500/16501
[2025-11-10T20:53:12.226157] - Processed 15600/16501
[2025-11-10T20:54:41.749101] - Processed 15700/16501
[2025-11-10T20:56:10.546467] - Processed 15800/16501
[2025-11-10T20:57:43.108800] - Processed 15900/16501
[2025-11-10T20:59:14.914984] - Processed 16000/16501
[2025-11-10T21:00:48.985551] - Processed 16100/16501
[2025-11-10T21:02:18.882329] - Processed 16200/16501
[2025-11-10T21:03:48.672355] - Processed 16300/16501
[2025-11-10T21:05:21.585850] - Processed 16400/16501
[2025-11-10T21:06:57.262201] - Processed 16500/16501
[2025-11-10T21:06:58.120201] - Processed 16501/16501
[2025-11-10T21:06:58.293927] - Done.
