Python 3.12.3
cn3.hpc.itu.dk
Torch: 2.5.1+cu121
True Tesla V100-PCIE-32GB
[2025-10-28T18:10:36.089103] - Processed 1850/16501
[2025-10-28T18:11:16.926212] - Processed 1900/16501
[2025-10-28T18:11:57.963240] - Processed 1950/16501
[2025-10-28T18:12:38.638076] - Processed 2000/16501
[2025-10-28T18:13:16.683021] - Processed 2050/16501
[2025-10-28T18:13:55.965129] - Processed 2100/16501
[2025-10-28T18:14:36.033177] - Processed 2150/16501
[2025-10-28T18:15:16.660821] - Processed 2200/16501
[2025-10-28T18:15:57.147668] - Processed 2250/16501
[2025-10-28T18:16:35.100167] - Processed 2300/16501
[2025-10-28T18:17:15.913341] - Processed 2350/16501
[2025-10-28T18:17:52.413255] - Processed 2400/16501
[2025-10-28T18:18:31.467581] - Processed 2450/16501
[2025-10-28T18:19:11.078695] - Processed 2500/16501
[2025-10-28T18:19:51.239334] - Processed 2550/16501
[2025-10-28T18:20:31.442156] - Processed 2600/16501
[2025-10-28T18:21:11.115588] - Processed 2650/16501
[2025-10-28T18:21:48.205442] - Processed 2700/16501
[2025-10-28T18:22:28.928834] - Processed 2750/16501
[2025-10-28T18:23:09.564711] - Processed 2800/16501
[2025-10-28T18:23:49.440718] - Processed 2850/16501
[2025-10-28T18:24:30.476722] - Processed 2900/16501
[2025-10-28T18:25:09.368325] - Processed 2950/16501
[2025-10-28T18:25:49.646842] - Processed 3000/16501
[2025-10-28T18:26:28.254138] - Processed 3050/16501
[2025-10-28T18:27:07.962730] - Processed 3100/16501
[2025-10-28T18:27:47.004705] - Processed 3150/16501
[2025-10-28T18:28:25.314407] - Processed 3200/16501
[2025-10-28T18:29:05.067802] - Processed 3250/16501
[2025-10-28T18:29:45.428816] - Processed 3300/16501
[2025-10-28T18:30:25.151073] - Processed 3350/16501
[2025-10-28T18:31:05.438192] - Processed 3400/16501
[2025-10-28T18:31:45.276069] - Processed 3450/16501
[2025-10-28T18:32:25.456370] - Processed 3500/16501
[2025-10-28T18:33:04.539126] - Processed 3550/16501
[2025-10-28T18:33:45.117772] - Processed 3600/16501
[2025-10-28T18:34:24.298015] - Processed 3650/16501
[2025-10-28T18:35:03.378379] - Processed 3700/16501
[2025-10-28T18:35:41.964387] - Processed 3750/16501
[2025-10-28T18:36:21.656676] - Processed 3800/16501
[2025-10-28T18:37:01.705546] - Processed 3850/16501
[2025-10-28T18:37:43.492826] - Processed 3900/16501
[2025-10-28T18:38:23.992237] - Processed 3950/16501
[2025-10-28T18:39:03.006577] - Processed 4000/16501
[2025-10-28T18:39:42.585059] - Processed 4050/16501
[2025-10-28T18:40:22.716294] - Processed 4100/16501
[2025-10-28T18:41:02.677126] - Processed 4150/16501
[2025-10-28T18:41:41.417069] - Processed 4200/16501
[2025-10-28T18:42:23.246045] - Processed 4250/16501
[2025-10-28T18:43:03.011959] - Processed 4300/16501
[2025-10-28T18:43:44.785297] - Processed 4350/16501
[2025-10-28T18:44:24.008969] - Processed 4400/16501
[2025-10-28T18:45:04.304364] - Processed 4450/16501
[2025-10-28T18:45:44.186848] - Processed 4500/16501
[2025-10-28T18:46:24.267056] - Processed 4550/16501
[2025-10-28T18:47:05.056433] - Processed 4600/16501
[2025-10-28T18:47:44.136365] - Processed 4650/16501
[2025-10-28T18:48:24.137706] - Processed 4700/16501
[2025-10-28T18:49:02.945643] - Processed 4750/16501
[2025-10-28T18:49:44.495798] - Processed 4800/16501
[2025-10-28T18:50:24.897074] - Processed 4850/16501
[2025-10-28T18:51:06.853219] - Processed 4900/16501
[2025-10-28T18:51:47.532545] - Processed 4950/16501
[2025-10-28T18:52:28.415347] - Processed 5000/16501
[2025-10-28T18:53:07.538519] - Processed 5050/16501
[2025-10-28T18:53:45.657098] - Processed 5100/16501
[2025-10-28T18:54:24.837731] - Processed 5150/16501
[2025-10-28T18:55:03.375893] - Processed 5200/16501
[2025-10-28T18:55:42.490494] - Processed 5250/16501
[2025-10-28T18:56:21.986466] - Processed 5300/16501
[2025-10-28T18:57:01.944502] - Processed 5350/16501
[2025-10-28T18:57:41.399016] - Processed 5400/16501
[2025-10-28T18:58:20.159865] - Processed 5450/16501
[2025-10-28T18:58:59.556893] - Processed 5500/16501
[2025-10-28T18:59:40.757826] - Processed 5550/16501
[2025-10-28T19:00:20.106406] - Processed 5600/16501
[2025-10-28T19:01:00.284101] - Processed 5650/16501
[2025-10-28T19:01:38.821954] - Processed 5700/16501
[2025-10-28T19:02:18.411519] - Processed 5750/16501
[2025-10-28T19:02:57.534656] - Processed 5800/16501
[2025-10-28T19:03:37.174866] - Processed 5850/16501
[2025-10-28T19:04:17.182496] - Processed 5900/16501
[2025-10-28T19:04:57.600933] - Processed 5950/16501
[2025-10-28T19:05:38.392005] - Processed 6000/16501
[2025-10-28T19:06:19.014946] - Processed 6050/16501
[2025-10-28T19:06:57.398836] - Processed 6100/16501
[2025-10-28T19:07:37.530306] - Processed 6150/16501
[2025-10-28T19:08:17.021372] - Processed 6200/16501
[2025-10-28T19:08:56.497023] - Processed 6250/16501
[2025-10-28T19:09:37.275657] - Processed 6300/16501
[2025-10-28T19:10:19.694637] - Processed 6350/16501
[2025-10-28T19:10:58.746894] - Processed 6400/16501
[2025-10-28T19:11:38.758815] - Processed 6450/16501
[2025-10-28T19:12:17.957916] - Processed 6500/16501
[2025-10-28T19:13:01.125061] - Processed 6550/16501
[2025-10-28T19:13:42.712554] - Processed 6600/16501
[2025-10-28T19:14:27.519659] - Processed 6650/16501
[2025-10-28T19:15:09.569034] - Processed 6700/16501
[2025-10-28T19:15:48.897066] - Processed 6750/16501
[2025-10-28T19:16:31.239887] - Processed 6800/16501
[2025-10-28T19:17:10.674613] - Processed 6850/16501
[2025-10-28T19:17:50.683000] - Processed 6900/16501
[2025-10-28T19:18:30.488154] - Processed 6950/16501
[2025-10-28T19:19:11.245067] - Processed 7000/16501
[2025-10-28T19:19:49.453156] - Processed 7050/16501
[2025-10-28T19:20:29.325747] - Processed 7100/16501
[2025-10-28T19:21:10.613512] - Processed 7150/16501
[2025-10-28T19:21:50.605330] - Processed 7200/16501
[2025-10-28T19:22:29.983979] - Processed 7250/16501
[2025-10-28T19:23:09.650027] - Processed 7300/16501
[2025-10-28T19:23:49.027256] - Processed 7350/16501
[2025-10-28T19:24:28.534443] - Processed 7400/16501
[2025-10-28T19:25:08.341991] - Processed 7450/16501
[2025-10-28T19:25:47.838890] - Processed 7500/16501
[2025-10-28T19:26:28.728453] - Processed 7550/16501
[2025-10-28T19:27:07.984108] - Processed 7600/16501
[2025-10-28T19:27:48.459860] - Processed 7650/16501
[2025-10-28T19:28:28.786837] - Processed 7700/16501
[2025-10-28T19:29:09.544722] - Processed 7750/16501
[2025-10-28T19:29:46.317116] - Processed 7800/16501
[2025-10-28T19:30:27.189633] - Processed 7850/16501
[2025-10-28T19:31:06.049788] - Processed 7900/16501
[2025-10-28T19:31:45.659335] - Processed 7950/16501
[2025-10-28T19:32:23.211826] - Processed 8000/16501
[2025-10-28T19:33:02.098155] - Processed 8050/16501
[2025-10-28T19:33:41.549704] - Processed 8100/16501
[2025-10-28T19:34:18.822076] - Processed 8150/16501
[2025-10-28T19:34:58.803995] - Processed 8200/16501
[2025-10-28T19:35:38.101398] - Processed 8250/16501
[2025-10-28T19:36:16.338242] - Processed 8300/16501
[2025-10-28T19:36:55.808652] - Processed 8350/16501
[2025-10-28T19:37:35.463058] - Processed 8400/16501
[2025-10-28T19:38:13.777570] - Processed 8450/16501
[2025-10-28T19:38:53.554625] - Processed 8500/16501
[2025-10-28T19:39:32.919050] - Processed 8550/16501
[2025-10-28T19:40:14.309313] - Processed 8600/16501
[2025-10-28T19:40:54.533349] - Processed 8650/16501
[2025-10-28T19:41:35.112307] - Processed 8700/16501
[2025-10-28T19:42:13.964068] - Processed 8750/16501
[2025-10-28T19:42:54.406113] - Processed 8800/16501
[2025-10-28T19:43:36.015407] - Processed 8850/16501
[2025-10-28T19:44:17.285788] - Processed 8900/16501
[2025-10-28T19:44:57.855750] - Processed 8950/16501
[2025-10-28T19:45:39.283186] - Processed 9000/16501
[2025-10-28T19:46:26.457694] - Processed 9050/16501
[2025-10-28T19:47:09.837834] - Processed 9100/16501
[2025-10-28T19:47:50.440948] - Processed 9150/16501
[2025-10-28T19:48:30.653385] - Processed 9200/16501
[2025-10-28T19:49:09.697699] - Processed 9250/16501
[2025-10-28T19:49:49.905200] - Processed 9300/16501
[2025-10-28T19:50:29.062694] - Processed 9350/16501
[2025-10-28T19:51:09.229148] - Processed 9400/16501
[2025-10-28T19:51:48.467190] - Processed 9450/16501
[2025-10-28T19:52:27.792890] - Processed 9500/16501
[2025-10-28T19:53:05.929655] - Processed 9550/16501
[2025-10-28T19:53:46.003658] - Processed 9600/16501
[2025-10-28T19:54:25.584265] - Processed 9650/16501
[2025-10-28T19:55:06.450518] - Processed 9700/16501
[2025-10-28T19:55:46.126662] - Processed 9750/16501
[2025-10-28T19:56:26.719156] - Processed 9800/16501
[2025-10-28T19:57:08.014389] - Processed 9850/16501
[2025-10-28T19:57:47.651020] - Processed 9900/16501
[2025-10-28T19:58:25.251016] - Processed 9950/16501
[2025-10-28T19:59:04.645804] - Processed 10000/16501
[2025-10-28T19:59:42.356939] - Processed 10050/16501
[2025-10-28T20:00:21.300668] - Processed 10100/16501
[2025-10-28T20:01:00.557953] - Processed 10150/16501
[2025-10-28T20:01:40.170541] - Processed 10200/16501
[2025-10-28T20:02:19.081349] - Processed 10250/16501
[2025-10-28T20:02:59.651121] - Processed 10300/16501
[2025-10-28T20:03:40.357550] - Processed 10350/16501
[2025-10-28T20:04:24.941034] - Processed 10400/16501
[2025-10-28T20:05:03.937392] - Processed 10450/16501
[2025-10-28T20:05:42.871983] - Processed 10500/16501
[2025-10-28T20:06:22.466213] - Processed 10550/16501
[2025-10-28T20:07:02.042218] - Processed 10600/16501
[2025-10-28T20:07:44.596274] - Processed 10650/16501
[2025-10-28T20:08:24.386539] - Processed 10700/16501
[2025-10-28T20:09:04.516598] - Processed 10750/16501
[2025-10-28T20:09:44.745634] - Processed 10800/16501
[2025-10-28T20:10:22.945419] - Processed 10850/16501
[2025-10-28T20:11:04.286062] - Processed 10900/16501
[2025-10-28T20:11:45.252874] - Processed 10950/16501
[2025-10-28T20:12:23.327379] - Processed 11000/16501
[2025-10-28T20:13:02.530234] - Processed 11050/16501
[2025-10-28T20:13:42.611835] - Processed 11100/16501
[2025-10-28T20:14:22.210844] - Processed 11150/16501
[2025-10-28T20:15:01.448089] - Processed 11200/16501
[2025-10-28T20:15:40.074281] - Processed 11250/16501
[2025-10-28T20:16:21.972295] - Processed 11300/16501
[2025-10-28T20:17:02.524393] - Processed 11350/16501
[2025-10-28T20:17:41.971398] - Processed 11400/16501
[2025-10-28T20:18:21.560756] - Processed 11450/16501
[2025-10-28T20:19:00.886893] - Processed 11500/16501
[2025-10-28T20:19:39.915700] - Processed 11550/16501
[2025-10-28T20:20:16.758068] - Processed 11600/16501
[2025-10-28T20:20:57.622908] - Processed 11650/16501
[2025-10-28T20:21:36.496907] - Processed 11700/16501
[2025-10-28T20:22:15.695111] - Processed 11750/16501
[2025-10-28T20:22:54.845937] - Processed 11800/16501
[2025-10-28T20:23:33.608846] - Processed 11850/16501
[2025-10-28T20:24:14.577123] - Processed 11900/16501
[2025-10-28T20:24:52.884813] - Processed 11950/16501
[2025-10-28T20:25:31.572641] - Processed 12000/16501
[2025-10-28T20:26:10.428540] - Processed 12050/16501
[2025-10-28T20:26:51.194346] - Processed 12100/16501
[2025-10-28T20:27:30.126697] - Processed 12150/16501
[2025-10-28T20:28:10.137011] - Processed 12200/16501
[2025-10-28T20:28:49.478967] - Processed 12250/16501
[2025-10-28T20:29:30.483886] - Processed 12300/16501
[2025-10-28T20:30:07.889227] - Processed 12350/16501
[2025-10-28T20:30:47.980114] - Processed 12400/16501
[2025-10-28T20:31:28.562210] - Processed 12450/16501
[2025-10-28T20:32:08.672947] - Processed 12500/16501
[2025-10-28T20:32:48.742341] - Processed 12550/16501
[2025-10-28T20:33:29.798198] - Processed 12600/16501
[2025-10-28T20:34:08.849345] - Processed 12650/16501
[2025-10-28T20:34:47.842893] - Processed 12700/16501
[2025-10-28T20:35:27.798034] - Processed 12750/16501
[2025-10-28T20:36:07.106746] - Processed 12800/16501
[2025-10-28T20:36:45.180292] - Processed 12850/16501
[2025-10-28T20:37:23.522189] - Processed 12900/16501
[2025-10-28T20:38:01.908048] - Processed 12950/16501
[2025-10-28T20:38:41.904124] - Processed 13000/16501
[2025-10-28T20:39:21.338696] - Processed 13050/16501
[2025-10-28T20:39:58.839119] - Processed 13100/16501
[2025-10-28T20:40:37.942732] - Processed 13150/16501
[2025-10-28T20:41:17.650871] - Processed 13200/16501
[2025-10-28T20:41:55.832930] - Processed 13250/16501
[2025-10-28T20:42:35.823093] - Processed 13300/16501
[2025-10-28T20:43:15.534303] - Processed 13350/16501
[2025-10-28T20:43:54.487263] - Processed 13400/16501
[2025-10-28T20:44:36.207989] - Processed 13450/16501
[2025-10-28T20:45:14.842113] - Processed 13500/16501
[2025-10-28T20:45:53.493480] - Processed 13550/16501
[2025-10-28T20:46:31.114202] - Processed 13600/16501
[2025-10-28T20:47:10.907736] - Processed 13650/16501
[2025-10-28T20:47:50.368775] - Processed 13700/16501
[2025-10-28T20:48:28.660611] - Processed 13750/16501
[2025-10-28T20:49:09.289437] - Processed 13800/16501
[2025-10-28T20:49:49.342029] - Processed 13850/16501
[2025-10-28T20:50:29.272240] - Processed 13900/16501
[2025-10-28T20:51:09.026438] - Processed 13950/16501
[2025-10-28T20:51:47.489165] - Processed 14000/16501
[2025-10-28T20:52:23.387108] - Processed 14050/16501
[2025-10-28T20:53:03.614599] - Processed 14100/16501
[2025-10-28T20:53:42.561879] - Processed 14150/16501
[2025-10-28T20:54:20.624960] - Processed 14200/16501
[2025-10-28T20:55:00.230520] - Processed 14250/16501
[2025-10-28T20:55:39.419977] - Processed 14300/16501
[2025-10-28T20:56:17.202744] - Processed 14350/16501
[2025-10-28T20:56:55.494487] - Processed 14400/16501
[2025-10-28T20:57:34.850482] - Processed 14450/16501
[2025-10-28T20:58:12.684045] - Processed 14500/16501
[2025-10-28T20:58:51.913395] - Processed 14550/16501
[2025-10-28T20:59:29.369892] - Processed 14600/16501
[2025-10-28T21:00:08.095288] - Processed 14650/16501
[2025-10-28T21:00:48.134423] - Processed 14700/16501
[2025-10-28T21:01:24.621279] - Processed 14750/16501
[2025-10-28T21:02:03.378148] - Processed 14800/16501
[2025-10-28T21:02:46.334391] - Processed 14850/16501
[2025-10-28T21:03:28.613575] - Processed 14900/16501
[2025-10-28T21:04:08.855911] - Processed 14950/16501
[2025-10-28T21:04:46.227888] - Processed 15000/16501
[2025-10-28T21:05:26.297009] - Processed 15050/16501
[2025-10-28T21:06:05.307120] - Processed 15100/16501
[2025-10-28T21:06:44.495760] - Processed 15150/16501
[2025-10-28T21:07:24.943008] - Processed 15200/16501
[2025-10-28T21:08:03.329266] - Processed 15250/16501
[2025-10-28T21:08:41.730312] - Processed 15300/16501
[2025-10-28T21:09:20.136911] - Processed 15350/16501
[2025-10-28T21:10:00.369701] - Processed 15400/16501
[2025-10-28T21:10:38.461136] - Processed 15450/16501
[2025-10-28T21:11:18.101861] - Processed 15500/16501
[2025-10-28T21:11:56.823858] - Processed 15550/16501
[2025-10-28T21:12:36.092378] - Processed 15600/16501
[2025-10-28T21:13:13.924740] - Processed 15650/16501
[2025-10-28T21:13:52.743235] - Processed 15700/16501
[2025-10-28T21:14:32.516186] - Processed 15750/16501
[2025-10-28T21:15:10.619216] - Processed 15800/16501
[2025-10-28T21:15:49.399394] - Processed 15850/16501
[2025-10-28T21:16:28.805433] - Processed 15900/16501
[2025-10-28T21:17:07.020516] - Processed 15950/16501
[2025-10-28T21:17:45.318225] - Processed 16000/16501
[2025-10-28T21:18:23.828098] - Processed 16050/16501
[2025-10-28T21:19:02.478179] - Processed 16100/16501
[2025-10-28T21:19:40.709037] - Processed 16150/16501
[2025-10-28T21:20:18.729277] - Processed 16200/16501
[2025-10-28T21:20:57.431694] - Processed 16250/16501
[2025-10-28T21:21:38.511053] - Processed 16300/16501
[2025-10-28T21:22:19.491978] - Processed 16350/16501
[2025-10-28T21:23:02.138781] - Processed 16400/16501
[2025-10-28T21:23:43.611105] - Processed 16450/16501
[2025-10-28T21:24:24.316638] - Processed 16500/16501
[2025-10-28T21:24:25.226910] - Processed 16501/16501
[2025-10-28T21:24:25.316813] - Saved to /home/absz/Seminars/Qwen/data/result/qwen_answers.txt
