QUESTION: Does transjugular intrahepatic portosystemic shunt (TIPS) improve outcomes for adults with hepatorenal syndrome?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is infliximab effective for inducing remission in Crohn's disease?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does early tracheostomy provide benefits compared to late tracheostomy in critically ill COVID-19 patients?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do calcium channel blockers help reduce heart problems caused by iron overload in people with beta-thalassaemia?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Can artificial intelligence accurately detect keratoconus in patients with refractive errors?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Are interventions effective in preventing or ceasing e-cigarette use among children and adolescents?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do ventilation tubes improve hearing in children with otitis media with effusion?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does cognitive behavioural therapy help reduce fear of falling in older adults?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Are some antibiotics more effective than penicillin for treating streptococcal throat infections?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do antibiotics effectively reduce pain in children with acute otitis media?   ||| LABEL: REFUTED   ||| LEVEL: MEDIUM
QUESTION: Do interventions improve health literacy in migrants?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is percutaneous nephrolithotomy more effective than retrograde intrarenal surgery for treating kidney stones?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Do cranberry products help prevent urinary tract infections in certain populations?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Are newer nebuliser systems more effective and efficient for treating cystic fibrosis compared to conventional systems?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is surgical treatment more effective than conservative treatment for displaced intra-articular calcaneal fractures?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Can human insulin be stored safely at temperatures higher than recommended for a limited time?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do PDE5 inhibitors help reduce the symptoms of Raynaud's phenomenon?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Does higher protein intake in infant formula benefit healthy, formula-fed infants?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does antioxidant therapy improve health outcomes in adults with chronic kidney disease?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Can the HINTS and HINTS Plus examinations accurately identify a central cause of acute vestibular syndrome?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Do methylxanthines help reduce apnea and improve outcomes in preterm infants?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Are single-incision sling operations effective for treating urinary incontinence in women?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Is home-based cardiac rehabilitation as effective as centre-based rehabilitation for patients with heart disease?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does tranexamic acid reduce bleeding complications in patients undergoing kidney stone surgery?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does surfactant treatment guided by rapid tests for surfactant deficiency improve outcomes in preterm infants with respiratory distress syndrome?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does doxapram help reduce apnea in preterm infants?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is phenobarbital more effective than levetiracetam for controlling seizures in newborns?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do interventions for mental health promotion delivered by primary workers improve mental health outcomes in low- and middle-income countries?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do organ protection interventions targeting the innate immune response improve outcomes after cardiac surgery?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do synbiotics, prebiotics, or probiotics improve outcomes for people with chronic kidney disease?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does the position used during lumbar puncture in newborns affect the success rate and safety of the procedure?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do oral antibiotics help treat otitis media with effusion in children?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do immunoglobulins improve outcomes for children hospitalized with RSV infections?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do haemostatic therapies improve outcomes for patients with acute spontaneous intracerebral haemorrhage?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: MEDIUM
QUESTION: Do treatments for alopecia areata improve hair regrowth?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does adenoidectomy help reduce the persistence of otitis media with effusion in children?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Are immunomodulatory interventions effective in reducing seizure frequency in people with focal epilepsy?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does higher sodium supplementation in preterm infants affect their health outcomes?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is child growth monitoring and promotion effective in improving health outcomes for children under five in low- and middle-income countries?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do interventions aimed at improving polypharmacy in older people lead to better medication management?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does Cerebrolysin provide benefits for treating acute ischaemic stroke?   ||| LABEL: REFUTED   ||| LEVEL: MEDIUM
QUESTION: Does tighter glycaemic control in pregnant women with gestational diabetes improve health outcomes for mothers and infants?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is one magnesium sulphate regimen more effective than another for women with pre-eclampsia or eclampsia?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do pharmacological interventions effectively manage irritability, aggression, and self-injury in people with autism spectrum disorder?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do immune checkpoint inhibitors improve survival compared to chemotherapy for advanced bladder cancer?   ||| LABEL: REFUTED   ||| LEVEL: MEDIUM
QUESTION: Are effective communication approaches important for promoting adherence to physical distancing measures during a pandemic?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does the erector spinae plane block reduce postoperative pain compared to no block or placebo?   ||| LABEL: REFUTED   ||| LEVEL: MEDIUM
QUESTION: Is superoxide dismutase effective in preventing bronchopulmonary dysplasia in preterm infants?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is bladder training effective for treating overactive bladder in adults?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Do psychosocial interventions improve mental health for survivors of rape, sexual assault, or sexual abuse?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do children with chronic non-cancer pain and their families have specific views on pain management and services?   ||| LABEL: SUPPORTED   ||| LEVEL: HIGH
QUESTION: Is caffeine more effective than other methylxanthines for treating apnea in preterm infants?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does advising a delayed prescription of antibiotics for respiratory tract infections reduce antibiotic use without negatively impacting patient satisfaction?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do psychological interventions help reduce depression in adults with congenital heart disease?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Do nasal interfaces for newborns receiving positive pressure ventilation reduce mortality and morbidity compared to face masks?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Is vaccination effective in preventing herpes zoster in older adults?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does vitamin D supplementation help in treating inflammatory bowel disease?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does using pharmacological interventions during lumbar puncture in newborns reduce pain and improve success rates?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does IVF improve pregnancy outcomes compared to other fertility treatments?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Do prebiotics improve health outcomes in people with cystic fibrosis?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Does autoinflation help treat otitis media with effusion in children?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Does ECMO improve survival rates in critically ill adults compared to conventional support?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Is there a significant difference in comfort and safety between silicone hydrogel and hydrogel contact lenses?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does pravastatin lower LDL cholesterol in a dose-dependent manner?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does using ovulation prediction methods for timing intercourse improve the chances of conception in couples trying to conceive?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does cryotherapy improve outcomes after total knee replacement surgery?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do antioxidant vitamin and mineral supplements help slow the progression of age-related macular degeneration?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Is there a clear benefit to using higher versus lower oxygen levels for patients in the ICU?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does machine perfusion technology improve outcomes for liver transplantation compared to traditional storage methods?   ||| LABEL: SUPPORTED   ||| LEVEL: HIGH
QUESTION: Are e-cigarettes and pharmacotherapies effective in helping people quit smoking tobacco?   ||| LABEL: SUPPORTED   ||| LEVEL: HIGH
QUESTION: Does adapting shift work schedules improve sleep quality and reduce sleepiness among shift workers?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does platinum-based chemotherapy improve long-term outcomes in early triple-negative breast cancer?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does cell salvage reduce the need for blood transfusions in elective surgery?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Are there effective prognostic models for predicting disease progression in multiple sclerosis?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Are search filters effective for retrieving reports of systematic reviews in medical databases?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: MEDIUM
QUESTION: Do music and vocal interventions improve health outcomes for preterm infants compared to standard care?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Does fortifying condiments and seasonings with iron help reduce anaemia in the general population?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do personal and societal factors affect a person's decision to participate in a vaccine trial during a pandemic?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does sucrose help relieve pain in neonates during heel lance procedures?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do interventions help reduce fatigue in people receiving dialysis?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does routine follow-up improve survival in women with ovarian cancer after treatment?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Is there a difference in effectiveness and safety among various corticosteroid treatments for preventing bronchopulmonary dysplasia in preterm infants?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do psychosocial interventions help reduce the use of antipsychotic medications in care home residents?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Is elective neck dissection more effective than therapeutic neck dissection for treating oral cavity cancer?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does prenatal exposure to anti-seizure medications increase the risk of major congenital malformations in children?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does exercise therapy improve pain or function in adults with acute non-specific low back pain compared to no treatment?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Can lay health workers effectively identify and treat wasting in young children compared to health professionals?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Do remotely-delivered psychological therapies provide benefits for managing chronic pain in adults?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does breastfeeding or supplemental breast milk help reduce pain in neonates during procedures?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Is vaginal hysterectomy more effective and safer than abdominal hysterectomy for women with benign gynaecological conditions?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Are steroid implants effective and safe for treating chronic non-infectious uveitis?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do pharmacological treatments improve symptoms of gastro-oesophageal reflux in infants and children?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does hormone therapy improve sexual function in perimenopausal and postmenopausal women?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Are red flags effective in screening for vertebral fractures in patients with low back pain?   ||| LABEL: REFUTED   ||| LEVEL: MEDIUM
QUESTION: Are specific psychological therapies effective for treating severe and enduring anorexia nervosa?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does Mental Health First Aid training improve mental health and well-being in communities?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do healthy eating interventions in early childhood education settings improve children's dietary intake?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Is adding a LABA or LAMA to medium-dose ICS therapy more effective than just increasing the dose of ICS for asthma control?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Can topical repellents help reduce malaria infection in populations living in endemic areas?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do paracetamol or NSAIDs help relieve pain in children with acute otitis media?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do blue-light filtering lenses improve visual performance, macular protection, or sleep quality in adults?   ||| LABEL: REFUTED   ||| LEVEL: MEDIUM
QUESTION: Do prophylactic anticoagulants provide significant benefits for non-hospitalised people with COVID-19?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does hyperbaric oxygen therapy improve outcomes for patients with late radiation tissue injury?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Do hydrogel dressings improve healing of donor site wounds after skin grafts?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is ICSI more effective than c-IVF for couples with normal sperm count and motility?   ||| LABEL: REFUTED   ||| LEVEL: MEDIUM
QUESTION: Is enteral tube feeding effective for improving survival, nutritional status, and quality of life in people with ALS compared to oral feeding?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is clobetasol propionate cream an effective treatment for bullous pemphigoid?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do implementation interventions improve adherence to evidence-based recommendations in acute stroke units?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Can pharmacological interventions for pain and sedation management help prevent GMH-IVH in ventilated preterm infants?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Can pharmacological treatments help prevent serious complications from asymptomatic carotid stenosis?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Are topical ophthalmic anesthetics effective for reducing pain from corneal abrasions?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Do fibrin-based haemostatic agents help reduce blood loss during liver surgery?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Does dance movement therapy improve symptoms of dementia compared to no treatment or standard care?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is the inverted internal limiting membrane flap technique more effective than conventional ILM peeling for treating large macular holes?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Is high flow nasal cannula oxygen therapy safe and effective for respiratory support in term infants?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do prostaglandins provide benefits for adults undergoing liver transplantation?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Can interventions help prevent kidney complications in people with sickle cell disease?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do vocabulary interventions improve second language skills in young learners?   ||| LABEL: SUPPORTED   ||| LEVEL: LOW
QUESTION: Do ePTFE-covered stents provide better outcomes than bare stents in TIPS for liver cirrhosis?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does apnoeic oxygenation before intubation help reduce the risk of hypoxaemia in adults?   ||| LABEL: REFUTED   ||| LEVEL: MEDIUM
QUESTION: Is extracorporeal shock wave lithotripsy as effective as newer surgical methods for treating kidney stones?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: MEDIUM
QUESTION: Does intensive glycaemic control improve outcomes for people with diabetes undergoing surgery?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Are combined oral contraceptive pills effective for managing painful menstrual cramps?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does the type of nephrolithotomy technique used affect patient outcomes after kidney stone removal?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Do interventions aimed at reducing physical restraints for older people in long-term care settings have a positive effect?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Does superficial endovenous ablation improve healing of venous leg ulcers when combined with compression therapy?   ||| LABEL: SUPPORTED   ||| LEVEL: HIGH
QUESTION: Does hyaluronic acid help heal chronic wounds?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: MEDIUM
QUESTION: Does NIPPV reduce the need for additional ventilatory support compared to NCPAP in preterm infants after extubation?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Is sacral colpopexy a safer and more effective surgical option for apical vaginal prolapse compared to other interventions?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do probiotics reduce the risk of necrotising enterocolitis in very preterm or low birth weight infants?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is there evidence that amyloid fibrin(ogen) particles contribute to the symptoms of post-COVID-19 condition?   ||| LABEL: REFUTED   ||| LEVEL: HIGH
QUESTION: Does cognitive behavioural therapy help reduce aggressive behavior in people with schizophrenia?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Are non-surgical therapies effective for treating Peyronie's disease?   ||| LABEL: REFUTED   ||| LEVEL: LOW
QUESTION: Do antiplatelet agents improve outcomes for adults with COVID-19 compared to no treatment?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: MEDIUM
QUESTION: Is CPAP effective in preventing and treating apnoea of prematurity in preterm infants?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Is there a beneficial effect of the intervention on patient outcomes?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Are medical interventions effective and safe for treating eosinophilic esophagitis?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Is duplex ultrasound effective for monitoring lower limb revascularisation in patients with peripheral arterial disease?   ||| LABEL: NOT ENOUGH INFORMATION   ||| LEVEL: LOW
QUESTION: Does rifaximin improve outcomes for patients with hepatic encephalopathy compared to placebo or no treatment?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
QUESTION: Do healthcare workers' perceptions and experiences influence the impact of primary healthcare integration?   ||| LABEL: SUPPORTED   ||| LEVEL: MEDIUM
